"report_id";"tabel";"elemendi_label";"elemendi_nimetus";"vaartus"
1001;"Kasumiaruanne skeem 1";"Müügitulu";"Revenue";"100000.0"
1001;"Lisa: Tööjõukulud";"Töötajate keskmine arv taandatuna täistööajale";"AverageNumberOfEmployeesInFullTimeEquivalentUnits";"1.0"
2001;"Kasumiaruanne skeem 1";"Müügitulu";"Revenue";"1000000.0"
2001;"Lisa: Tööjõukulud";"Töötajate keskmine arv taandatuna täistööajale";"AverageNumberOfEmployeesInFullTimeEquivalentUnits";"20.0"
3001;"Kasumiaruanne skeem 1";"Müügitulu";"Revenue";"200000.0"
3001;"Lisa: Tööjõukulud";"Töötajate keskmine arv taandatuna täistööajale";"AverageNumberOfEmployeesInFullTimeEquivalentUnits";"2.0"
4001;"Kasumiaruanne skeem 1";"Müügitulu";"Revenue";"10000.0"
4001;"Lisa: Tööjõukulud";"Töötajate keskmine arv taandatuna täistööajale";"AverageNumberOfEmployeesInFullTimeEquivalentUnits";"1.0"
7001;"Kasumiaruanne skeem 1";"Müügitulu";"Revenue";"500000.0"
7001;"Lisa: Tööjõukulud";"Töötajate keskmine arv taandatuna täistööajale";"AverageNumberOfEmployeesInFullTimeEquivalentUnits";"10.0"
