emtak2008,emtak2025,note
01,01,
01,10,
01,20,
011,011,
011,109,
0111,0111,
01111,01111,
0112,0112,
01121,01121,
0113,0113,
01131,01131,
0114,0114,
01141,01141,
0115,0115,
01151,01151,
0116,0116,
01161,01161,
0119,0113,
0119,0119,
0119,1091,
01191,01191,
01199,01131,
01199,01192,
01199,10911,
012,011,
012,012,
0121,0121,
01211,01211,
0122,0122,
01221,01221,
0123,0123,
01231,01231,
0124,0124,
01241,01241,
0125,0125,
01251,01251,
0126,0126,
01261,01261,
0127,0127,
01271,01271,
0128,0113,
0128,0128,
01281,01131,
01281,01281,
0129,0129,
01291,01291,
013,013,
0130,0130,
01301,01301,
014,014,
014,201,
0141,0141,
0141,2015,
01411,01411,
01411,20151,
0142,0141,
0142,0142,
0142,2015,
01421,01411,
01421,01421,
01421,20151,
0143,0143,
0143,2015,
01431,01431,
01431,20151,
0144,0144,
01441,01441,
0145,0145,
0145,2015,
01451,01451,
01451,20151,
0146,0146,
0146,2015,
01461,01461,
01461,20151,
0147,0147,
0147,2015,
01471,01471,
01471,20151,
0149,0147,
0149,0148,
01491,01481,
01499,01471,
01499,01489,
015,015,
0150,0150,
01501,01501,
016,014,
016,016,
0161,0161,
01611,01611,
0162,0147,
0162,0161,
0162,0162,
01621,01471,
01621,01611,
01621,01621,
0163,0163,
01631,01631,
0164,0163,
01641,01632,
017,017,
0170,0170,
01701,01701,
02,01,
02,02,
021,021,
0210,0210,
02101,02101,
022,022,
022,024,
0220,0220,
0220,0240,
02201,02201,
02202,02202,
02202,02401,
023,023,
0230,0230,
02301,02301,
024,017,
024,024,
0240,0170,
0240,0240,
02401,01701,
02401,02401,
03,01,
03,03,
031,031,
031,033,
0311,0311,
0311,0330,
03111,03111,
03111,03301,
0312,0312,
0312,0330,
03121,03121,
03121,03301,
032,014,
032,032,
032,033,
0321,0321,
0321,0330,
03211,03211,
03211,03301,
0322,0148,
0322,0322,
0322,0330,
03221,01489,
03221,03221,
03221,03301,
05,05,
051,051,
0510,0510,
05101,05101,
052,052,
0520,0520,
05201,05201,
06,06,
061,061,
0610,0610,
06101,06101,
062,062,
0620,0620,
06201,06201,
07,07,
071,071,
0710,0710,
07101,07101,
072,072,
0721,0721,
07211,07211,
0729,0729,
07291,07291,
08,08,
08,20,
081,081,
0811,0811,
08111,08111,
0812,0812,
08121,08121,
08122,08122,
089,089,
089,201,
0891,0891,
08911,08911,
0892,0892,
0892,2015,
08921,08921,
08921,20151,
0893,0893,
08931,08931,
0899,0892,
0899,0899,
08991,08921,
08991,08991,
09,09,
091,091,
0910,0910,
09101,09101,
099,099,
0990,0990,
09901,09901,
10,10,
10,11,
101,101,
1011,1011,
10111,10111,
1012,1012,
10121,10121,
1013,1013,
10131,10131,
102,102,
1020,1020,
10201,10201,
103,103,
1031,1031,
10311,10311,
1032,1032,
10321,10321,
1039,1039,
10391,10391,
104,104,
1041,1041,
10411,10411,
1042,1042,
10421,10421,
105,105,
1051,1051,
10511,10511,
10512,10512,
10519,10519,
1052,1052,
10521,10521,
106,106,
1061,1061,
10611,10611,
1062,1062,
10621,10621,
107,107,
1071,1071,
10711,10711,
1072,1072,
10721,10721,
1073,1073,
10731,10731,
108,106,
108,107,
108,108,
108,110,
1081,1081,
10811,10811,
1082,1082,
10821,10821,
1083,1083,
10831,10831,
1084,1084,
10841,10841,
1085,1085,
10851,10851,
1086,1061,
1086,1062,
1086,1071,
1086,1072,
1086,1073,
1086,1086,
10861,10611,
10861,10621,
10861,10711,
10861,10721,
10861,10731,
10861,10861,
1089,1089,
1089,1107,
10891,10891,
10891,11071,
109,109,
1091,1091,
10911,10911,
1092,1092,
10921,10921,
11,11,
110,110,
1101,1101,
11011,11011,
1102,1102,
11021,11021,
1103,1103,
11031,11031,
1104,1104,
11041,11041,
1105,1105,
11051,11051,
1106,1106,
11061,11061,
1107,1107,
11071,11071,
12,12,
120,120,
1200,1200,
12001,12001,
13,13,
13,18,
13,23,
131,131,
1310,1310,
13101,13101,
132,132,
132,139,
132,239,
1320,1320,
1320,1396,
1320,2399,
13201,13201,
13201,13961,
13201,23991,
133,133,
133,181,
1330,1330,
1330,1812,
13301,13301,
13301,18129,
139,131,
139,133,
139,139,
1391,1391,
13911,13911,
1392,1392,
1392,1396,
13921,13921,
13929,13929,
13929,13961,
1393,1393,
13931,13931,
1394,1394,
13941,13941,
1395,1395,
13951,13951,
1396,1396,
13961,13961,
1399,1310,
1399,1330,
1399,1399,
13991,13101,
13991,13301,
13991,13991,
14,13,
14,14,
141,141,
141,142,
1411,1424,
14111,14241,
1412,1423,
14121,14231,
1413,1410,
1413,1421,
14131,14101,
14131,14211,
1414,1410,
1414,1421,
1414,1422,
14141,14101,
14141,14211,
14141,14221,
1419,1410,
1419,1421,
1419,1422,
1419,1429,
14191,14291,
14199,14101,
14199,14211,
14199,14221,
14199,14299,
142,139,
142,142,
1420,1392,
1420,1421,
1420,1424,
1420,1429,
14201,13921,
14201,14211,
14201,14241,
14201,14291,
14201,14299,
143,141,
1431,1410,
14311,14101,
1439,1410,
14391,14101,
15,15,
151,151,
1511,1511,
15111,15111,
1512,1512,
15121,15121,
15122,15122,
15129,15129,
152,152,
1520,1520,
15201,15201,
16,15,
16,16,
161,161,
1610,1611,
1610,1612,
16101,16111,
16102,16121,
16109,16111,
162,152,
162,162,
1621,1621,
1621,1627,
16211,16211,
16211,16271,
16212,16212,
16219,16219,
1622,1622,
1622,1627,
16221,16221,
16221,16271,
1623,1623,
1623,1624,
1623,1625,
1623,1627,
16231,16251,
16232,16231,
16232,16241,
16239,16239,
16239,16271,
1624,1624,
1624,1627,
16241,16241,
16241,16271,
1629,1520,
1629,1626,
1629,1627,
1629,1628,
16291,15201,
16291,16261,
16291,16271,
16291,16281,
16292,16282,
17,17,
171,171,
171,172,
1711,1711,
17111,17111,
1712,1712,
1712,1725,
17121,17121,
17121,17251,
172,172,
1721,1721,
17211,17211,
1722,1722,
17221,17221,
1723,1723,
17231,17231,
1724,1724,
17241,17241,
1729,1725,
17291,17251,
18,13,
18,18,
181,133,
181,181,
1811,1811,
18111,18111,
1812,1330,
1812,1812,
18121,18121,
18122,18122,
18129,13301,
18129,18129,
1813,1813,
18131,18131,
1814,1814,
18141,18141,
182,182,
1820,1820,
18201,18201,
19,19,
191,191,
1910,1910,
19101,19101,
192,192,
1920,1920,
19201,19201,
20,20,
201,201,
201,203,
201,205,
2011,2011,
2011,2014,
20111,20111,
20111,20141,
2012,2012,
2012,2030,
20121,20121,
20121,20301,
2013,2013,
20131,20131,
2014,2014,
2014,2051,
20141,20141,
20141,20511,
2015,2015,
20151,20151,
2016,2016,
20161,20161,
2017,2017,
20171,20171,
202,202,
2020,2020,
20201,20201,
203,203,
2030,2030,
20301,20301,
204,204,
2041,2041,
20411,20411,
2042,2042,
20421,20421,
205,205,
2051,2059,
20511,20591,
20512,20599,
2052,2059,
20521,20592,
2053,2059,
20531,20593,
2059,2051,
2059,2059,
20591,20511,
20591,20599,
206,206,
2060,2060,
20601,20601,
21,21,
211,211,
2110,2110,
21101,21101,
212,212,
2120,2120,
21201,21201,
22,15,
22,22,
