code,parent,label_et
A,,"PÕLLUMAJANDUS, METSAMAJANDUS JA KALAPÜÜK"
01,A,"Taime- ja loomakasvatus, jahindus ja neid teenindavad tegevusalad"
011,01,Üheaastaste põllukultuuride kasvatus
0111,011,"Teravilja- (v.a riis), kaunvilja- ja õlitaimeseemnete kasvatus"
01111,0111,"Teravilja- (v.a riis), kaunvilja- ja õlitaimeseemnete kasvatus"
0112,011,Riisikasvatus
01121,0112,Riisikasvatus
0113,011,"Köögivilja- ja melonikasvatus, juurvilja- ja mugulviljakasvatus"
01131,0113,"Köögivilja- ja melonikasvatus, juurvilja- ja mugulviljakasvatus"
0114,011,Suhkrurookasvatus
01141,0114,Suhkrurookasvatus
0115,011,Tubakakasvatus
01151,0115,Tubakakasvatus
0116,011,Kiutaimekasvatus
01161,0116,Kiutaimekasvatus
0119,011,Muude üheaastaste põllukultuuride kasvatus
01191,0119,Lillekasvatus
01192,0119,Sööda- ja heintaimekasvatus jm üheaastaste põllukultuuride kasvatus
012,01,Mitmeaastaste taimede kasvatus
0121,012,Viinamarjakasvatus
01211,0121,Viinamarjakasvatus
0122,012,Troopiliste ja subtroopiliste viljade kasvatus
01221,0122,Troopiliste ja subtroopiliste viljade kasvatus
0123,012,Tsitruseliste kasvatus
01231,0123,Tsitruseliste kasvatus
0124,012,Õun- ja luuviljaliste puuviljade kasvatus
01241,0124,Õun- ja luuviljaliste puuviljade kasvatus
0125,012,"Muu puuvilja-, marja- ning pähklikasvatus"
01251,0125,"Muu puuvilja-, marja- ning pähklikasvatus"
0126,012,Õliviljade kasvatus
01261,0126,Õliviljade kasvatus
0127,012,Joogitaimekasvatus
01271,0127,Joogitaimekasvatus
0128,012,"Vürtsi-, maitse-, uimastavate taimede ja ravimtaimede kasvatus"
01281,0128,"Vürtsi-, maitse-, uimastavate taimede ja ravimtaimede kasvatus"
0129,012,Muude mitmeaastaste taimede kasvatus
01291,0129,Muude mitmeaastaste taimede kasvatus
013,01,Taimede paljundamine
0130,013,Taimede paljundamine
01301,0130,Taimede paljundamine
014,01,Loomakasvatus
0141,014,Piimakarjakasvatus
01411,0141,Piimakarjakasvatus
