code,parent,label_en
A,,"AGRICULTURE, FORESTRY AND FISHING"
01,A,"Crop and animal production, hunting and related service activities"
011,01,Growing of non-perennial crops
0111,011,"Growing of cereals, other than rice, leguminous crops and oil seeds"
0112,011,Growing of rice
0113,011,"Growing of vegetables and melons, roots and tubers"
0114,011,Growing of sugar cane
0115,011,Growing of tobacco
0116,011,Growing of fibre crops
0119,011,Growing of other non-perennial crops
012,01,Growing of perennial crops
0121,012,Growing of grapes
0122,012,Growing of tropical and subtropical fruits
0123,012,Growing of citrus fruits
0124,012,Growing of pome fruits and stone fruits
0125,012,Growing of other tree and bush fruits and nuts
0126,012,Growing of oleaginous fruits
0127,012,Growing of beverage crops
0128,012,"Growing of spices, aromatic, drug and pharmaceutical crops"
0129,012,Growing of other perennial crops
013,01,Plant propagation
0130,013,Plant propagation
014,01,Animal production
0141,014,Raising of dairy cattle
0142,014,Raising of other cattle and buffaloes
0143,014,Raising of horses and other equines
0144,014,Raising of camels and camelids
0145,014,Raising of sheep and goats
0146,014,Raising of swine and pigs
0147,014,Raising of poultry
0148,014,Raising of other animals
015,01,Mixed farming
0150,015,Mixed farming
016,01,Support activities to agriculture and post-harvest crop activities
0161,016,Support activities for crop production
0162,016,Support activities for animal production
0163,016,Post-harvest crop activities and seed processing for propagation
017,01,"Hunting, trapping and related service activities"
0170,017,"Hunting, trapping and related service activities"
02,A,Forestry and logging
021,02,Silviculture and other forestry activities
0210,021,Silviculture and other forestry activities
022,02,Logging
0220,022,Logging
023,02,Gathering of wild growing non-wood products
0230,023,Gathering of wild growing non-wood products
024,02,Support services to forestry
0240,024,Support services to forestry
03,A,Fishing and aquaculture
031,03,Fishing
0311,031,Marine fishing
0312,031,Freshwater fishing
032,03,Aquaculture
0321,032,Marine aquaculture
0322,032,Freshwater aquaculture
033,03,Support activities for fishing and aquaculture
0330,033,Support activities for fishing and aquaculture
B,,MINING AND QUARRYING
05,B,Mining of coal and lignite
051,05,Mining of hard coal
0510,051,Mining of hard coal
052,05,Mining of lignite
0520,052,Mining of lignite
06,B,Extraction of crude petroleum and natural gas
061,06,Extraction of crude petroleum
0610,061,Extraction of crude petroleum
062,06,Extraction of natural gas
0620,062,Extraction of natural gas
07,B,Mining of metal ores
071,07,Mining of iron ores
0710,071,Mining of iron ores
072,07,Mining of non-ferrous metal ores
0721,072,Mining of uranium and thorium ores
0729,072,Mining of other non-ferrous metal ores
08,B,Other mining and quarrying
081,08,"Quarrying of stone, sand and clay"
0811,081,"Quarrying of ornamental stone, limestone, gypsum, slate and other stone"
0812,081,Operation of gravel and sand pits and mining of clay and kaolin
089,08,Mining and quarrying n.e.c.
0891,089,Mining of chemical and fertiliser minerals
0892,089,Extraction of peat
0893,089,Extraction of salt
0899,089,Other mining and quarrying n.e.c.
09,B,Mining support service activities
091,09,Support activities for petroleum and natural gas extraction
0910,091,Support activities for petroleum and natural gas extraction
099,09,Support activities for other mining and quarrying
0990,099,Support activities for other mining and quarrying
C,,MANUFACTURING
10,C,Manufacture of food products
101,10,Processing and preserving of meat and production of meat products
1011,101,"Processing and preserving of meat, except of poultry meat"
1012,101,Processing and preserving of poultry meat
1013,101,Production of meat and poultry meat products
102,10,"Processing and preserving of fish, crustaceans and molluscs"
