rev2,rev21,partial
0111,0111,1
0112,0112,1
0113,0113,1
0114,0114,1
0115,0115,1
0116,0116,1
0119,0113,1
0119,0119,1
0121,0121,1
0122,0122,1
0123,0123,1
0124,0124,1
0125,0125,1
0126,0126,1
0127,0127,1
0128,0113,1
0128,0128,1
0129,0129,1
0130,0130,1
0141,0141,1
0142,0141,1
0142,0142,1
0143,0143,1
0144,0144,1
0145,0145,1
0146,0146,1
0147,0147,1
0149,0147,1
0149,0148,1
0150,0150,1
0161,0161,1
0162,0147,1
0162,0162,1
0163,0163,1
0164,0163,1
0170,0170,1
0210,0210,1
0220,0220,1
0230,0230,1
0240,0240,1
0311,0330,1
0311,0311,1
0312,0330,1
0312,0312,1
0321,0330,1
0321,0321,1
0322,0148,1
0322,0330,1
0322,0322,1
0510,0510,1
0520,0520,1
0610,0610,1
0620,0620,1
0710,0710,1
0721,0721,1
0729,0729,1
0811,0811,1
0812,0812,1
0891,0891,1
0892,0892,1
0893,0893,1
0899,0899,1
0910,0910,1
0990,0990,1
1011,1011,1
1012,1012,1
1013,1013,1
1020,1020,1
1031,1031,1
1032,1032,1
1039,1039,1
1041,1041,1
1042,1042,1
1051,1051,1
1052,1052,1
1061,1061,1
1062,1062,1
1071,1071,1
1072,1072,1
1073,1073,1
1081,1081,1
1082,1082,1
1083,1083,1
1084,1084,1
1085,1085,1
1086,1061,1
1086,1062,1
1086,1071,1
1086,1072,1
1086,1073,1
1086,1086,1
1089,1089,1
1089,1107,1
1091,1091,1
1092,1092,1
1101,1101,1
1102,1102,1
1103,1103,1
1104,1104,1
1105,1105,1
1106,1106,1
1107,1107,1
1200,1200,1
1310,1310,1
1320,1320,1
1320,1396,1
1320,2399,1
1330,1330,1
1391,1391,1
1392,1396,1
1392,1392,1
1393,1393,1
1394,1394,1
1395,1395,1
1396,1396,1
1399,1399,1
1411,1424,1
1412,1423,1
1413,1421,1
1413,1410,1
1414,1421,1
1414,1422,1
1414,1410,1
1419,1421,1
1419,1422,1
1419,1429,1
1419,1410,1
1420,1424,1
1431,1410,1
1439,1410,1
1511,1511,1
1512,1512,1
1520,1520,1
1610,1611,1
1610,1612,1
1621,1621,1
1621,1627,1
1622,1622,1
1622,1627,1
1623,1623,1
1623,1625,1
1623,1627,1
1624,1624,1
1624,1627,1
1629,1520,1
1629,1626,1
